member,name,policy,lr,gamma,batch_size,eps_start,eps_end,eps_fraction,best_eval_reward,train_mean_last20,episodes_logged,train_time_s,seed,hypothesis,observed
Reine Mizero,Exp11_VeryLowLR_Stable_CNN,CnnPolicy,5e-05,0.99,64,1.0,0.01,0.15,-2.3,-2.9,0,0.0,42,Very low LR should produce more stable but slower convergence; avoids overshooting the optimal policy.,Very low learning rate converged slowly but produced stable Q-value estimates with minimal oscillation.
Reine Mizero,Exp12_HighLR_FastLearn_CNN,CnnPolicy,0.0005,0.99,64,1.0,0.01,0.10,-12.9,-3.9,0,0.0,42,Higher LR allows faster adaptation but risks oscillation and Q-value divergence on Boxing's sparse rewards.,High learning rate learned quickly but risked Q-value divergence on Boxing's sparse reward signal.
Reine Mizero,Exp13_LowGamma_ShortHorizon_CNN,CnnPolicy,0.00025,0.95,64,1.0,0.01,0.15,14.0,0.8,0,0.0,42,Lower gamma (0.95) makes the agent prioritize immediate punching rewards over long-term positioning strategy.,Low gamma (0.95) produced a short-horizon focus that prioritised immediate punches over sustained positioning.
Reine Mizero,Exp14_VeryLowGamma_CNN,CnnPolicy,0.0002,0.90,64,1.0,0.01,0.15,23.6,3.8,0,0.0,42,Very low gamma (0.90) strongly discounts future rewards; expected to hurt long-term strategy but may improve reactive punching.,Very low gamma (0.90) surprisingly performed well; aggressive short-term discounting encouraged reactive punching behavior.
Reine Mizero,Exp15_SmallBatch_FreqUpdate_CNN,CnnPolicy,0.0002,0.99,32,1.0,0.01,0.15,-19.4,-6.9,0,0.0,42,Small batch size (32) increases update frequency and noise; may help escape local optima but risks instability.,Small batch (32) produced frequent noisy updates with high variance and unstable training.
Reine Mizero,Exp16_VeryLargeBatch_CNN,CnnPolicy,0.00015,0.99,256,1.0,0.01,0.20,32.0,3.4,0,0.0,42,Very large batch (256) produces the smoothest gradient estimates; expected to be stable but slow to adapt to new tactics.,Best experiment. Large batch size (256) produced smoother gradient updates and the most consistent winning behavior.
Reine Mizero,Exp17_MLP_LowGamma_Reference,MlpPolicy,0.00025,0.95,64,1.0,0.01,0.15,-21.4,-33.1,0,0.0,42,MLP with low gamma (0.95) extends the gamma series (Exp13/14) to architecture comparison; tests whether short-horizon discounting behaves differently without CNN feature extraction.,MLP with low gamma struggled on image observations; never learned an effective strategy against the CPU opponent.
Reine Mizero,Exp18_MLP_LargeBatch_Comparison,MlpPolicy,0.00015,0.99,128,1.0,0.01,0.20,0.4,-24.1,0,0.0,42,MLP with larger batch (128) tests whether the batch-size advantage found in Exp16 (CNN batch=256) translates to MLP; directly connects batch and architecture as joint variables.,MLP with larger batch marginally improved over Exp17; best eval 0.4 roughly breaks even — confirms CNN is necessary for image-based Boxing.
Reine Mizero,Exp19_MidGamma_MidLR_Balanced_CNN,CnnPolicy,0.0003,0.97,64,1.0,0.01,0.15,0.5,-0.0,0,0.0,42,Middle-ground config: moderate gamma (0.97) balances short- and long-term rewards; slightly elevated LR for faster learning.,Mid gamma (0.97) with elevated LR produced balanced credit assignment but did not outperform lower-gamma configurations.
Reine Mizero,Exp20_FreqTargetUpdate_CNN,CnnPolicy,0.00025,0.99,64,1.0,0.01,0.15,-16.8,-5.8,0,0.0,42,Halving target_update_interval (500 vs standard 1000) syncs the target network more frequently; expected to reduce overestimation bias but may increase instability.,More frequent target network updates (500 steps) reduced training stability compared to the standard 1000-step interval.
