name,policy,env_id,lr,gamma,batch_size,epsilon_start,epsilon_end,epsilon_decay,total_timesteps,avg_reward_last_20,avg_length_last_20,episodes
best,CnnPolicy,ALE/Boxing-v5,0.0001,0.99,32,1.0,0.05,0.2,2000,-4.5,439.75,4
test_name,CnnPolicy,ALE/Boxing-v5,0.0001,0.99,32,1.0,0.05,0.2,500,-8.0,442.0,1
compare_mlppolicy,MlpPolicy,ALE/Boxing-v5,0.0001,0.99,32,1.0,0.05,0.2,3000,-4.666666666666667,440.8333333333333,6
compare_cnnpolicy,CnnPolicy,ALE/Boxing-v5,0.0001,0.99,32,1.0,0.05,0.2,3000,-4.666666666666667,440.8333333333333,6
exp01,CnnPolicy,ALE/Boxing-v5,0.0001,0.99,32,1.0,0.05,0.2,3000,-11.5,440.8333333333333,6
exp02,CnnPolicy,ALE/Boxing-v5,5e-05,0.99,32,1.0,0.05,0.2,3000,-14.833333333333334,440.8333333333333,6
exp03,CnnPolicy,ALE/Boxing-v5,0.0002,0.99,32,1.0,0.05,0.2,3000,-15.666666666666666,440.8333333333333,6
exp04,CnnPolicy,ALE/Boxing-v5,0.0001,0.95,32,1.0,0.05,0.2,3000,-11.333333333333334,440.8333333333333,6
exp05,CnnPolicy,ALE/Boxing-v5,0.0001,0.997,32,1.0,0.05,0.2,3000,-17.0,440.8333333333333,6
exp06,CnnPolicy,ALE/Boxing-v5,0.0001,0.99,64,1.0,0.05,0.2,3000,-10.333333333333334,440.8333333333333,6
exp07,CnnPolicy,ALE/Boxing-v5,0.0001,0.99,128,1.0,0.05,0.2,3000,-10.833333333333334,440.8333333333333,6
exp08,CnnPolicy,ALE/Boxing-v5,0.0001,0.99,32,1.0,0.1,0.2,3000,-16.0,440.8333333333333,6
exp09,CnnPolicy,ALE/Boxing-v5,0.0001,0.99,32,1.0,0.01,0.2,3000,-15.666666666666666,440.8333333333333,6
exp10,CnnPolicy,ALE/Boxing-v5,0.0001,0.99,32,1.0,0.05,0.4,3000,-13.166666666666666,440.8333333333333,6
